#Stadt,Einwohner,Breitengrad,Laengengrad
Ichikawa,466408,35.72,139.93
Ichinomiya,377274,35.3,136.8
Iksan,283501,35.9439,126.954
Iloilo,418710,10.6969,122.564
Imus,253158,14.4297,120.937
Incheon,2637652,37.4562,126.705
Indore,1837041,22.72,75.86
Ipoh,673318,4.6,101.07
Irbid,250645,32.55,35.85
Irbil,925000,36.19,44.02
Irkutsk,578073,52.33,104.24
Isfahan,1602110,32.68,51.68
Islamabad,755935,33.72,73.06
Istanbul,13301345,41.1,29.
Ivanovo,413068,57.01,40.99
Iwaki,347979,37.05,140.88
Izhevsk,619468,56.85,53.23
Izmir,2783866,38.43,27.15
Izmit,248424,40.77,29.93
Jabalpur,1030168,23.17,79.94
Jaipur,2711758,26.92,75.8
Jakarta,10187595,-6.18,106.83
Jalandhar,785178,31.33,75.57
Jalgaon,429298,21.01,75.56
Jambi,420323,-1.59,103.61
Jammu,465567,32.71,74.85
Jamnagar,492056,22.47,70.07
Jamshedpur,616338,22.79,86.2
Jember,298585,-8.17,113.69
Jerusalem,773000,31.78,35.22
Jessor,243987,23.17,89.21
Jhang,341210,31.28,72.32
Jhansi,412927,25.45,78.56
Jiddah,3430697,21.5,39.17
Jieyang,6491100,23.3964,116.483
Jinan,6032700,36.67,117.
Jingzhou,6620500,30.35,112.18
Jining,8313099,35.4,116.567
Jiujiang,4910300,29.73,115.98
Jodhpur,921476,26.29,73.02
Johor Bahru,802489,1.48,103.75
Kabul,2938300,34.53,69.17
Kaesong,351503,37.97,126.56
Kagoshima,604619,31.59,130.56
Kahramanmaras,371463,37.61,36.94
Kaifeng,5271400,34.85,114.35
Kajang-Sungai Chua,325945,2.98,101.77
Kakogawa,267103,34.77,134.84
Kaliningrad,423651,54.71,20.5
Kaluga,329064,54.54,36.27
Kalyan,1262255,19.25,73.16
Kanazawa,454607,36.56,136.64
Kanggye,207807,40.97,126.6
Kangnung,216806,37.7556,128.896
Kanpur,2823249,26.47,80.33
Kaohsiung,1527914,22.63,120.27
Karachi,11624219,24.86,67.01
Karaj,1386030,35.8,50.97
Karbala,434450,32.61,44.08
Kashan,253509,33.98,51.58
Kashiwa,381016,35.87,139.97
Kasugai,295795,35.24,136.98
Kasukabe,238499,35.98,139.77
Kasur,290643,31.12,74.45
Kataka,591464,20.47,85.88
Kathmandu,790597,27.71,85.31
Kawagoe,333765,35.92,139.49
Kawaguchi,479986,35.81,139.73
Kawasaki,1359063,35.53,139.7
Kayseri,882663,38.74,35.48
Kazan,1136566,55.75,49.13
Kediri,235143,-7.81,112.01
Keelung,390633,25.13,121.73
Kemerovo,520138,55.33,86.08
Kendari,235307,-3.97,122.59
Kerman,515114,30.3,57.08
Kermanshah,784602,34.38,47.06
Khabarovsk,578060,48.42,135.12
Khomeynishahr,223071,32.7,51.47
Khorramabad,328544,33.4878,48.3558
Khorramshahr,330606,30.43,48.18
Khulna,1435422,22.84,89.56
Kimhae,356242,35.2342,128.881
Kirkuk,601433,35.47,44.41
Kirov,468459,58.6,49.66
Kitakyushu,981016,33.88,130.86
Klang,879867,3.04,101.45
Kobe,1536685,34.68,135.17
Kochi,344577,33.56,133.54
Kochi,604696,10.02,76.22
Kolhapur,516142,16.7,74.22
Kolkata,4631392,22.57,88.36
Komilla,389411,23.46,91.17
Komsomolsk-na-Amure,273293,50.56,137.
Konya,1073791,37.88,32.48
Korba,419146,22.35,82.69
Koriyama,338830,37.41,140.38
Koronadal,203584,6.50306,124.847
Koshigaya,315782,35.89,139.79
Kostroma,274495,57.77,40.93
Kota,763088,25.18,75.83
Kota Bharu,279316,6.12,102.24
Kota Kinabalu,457326,5.97,116.07
Kozhikode,439922,11.26,75.78
Krasnodar,713426,45.03,38.98
Krasnoyarsk,962466,56.02,93.06
Kuala Lumpur,1627172,3.16,101.71
Kuala Terengganu,285065,5.33,103.14
Kuantan,366229,3.82,103.34
Kuching,570407,1.55,110.34
Kumamoto,669541,32.8,130.71
Kumi,291006,36.1272,128.345
Kunming,5339900,25.05,102.7
Kunsan,243406,35.9786,126.711
Kupang,282396,-10.17,123.57
Kurashiki,469372,34.61,133.77
Kure,251009,34.25,132.56
Kurgan,329981,55.45,65.33
Kursk,405499,51.73,36.19
Kurume,306439,33.31,130.51
Kutahya,212934,39.42,29.98
Kwangju,1469293,35.1547,126.916
Kwangmyong,357545,37.4772,126.866
